Date,% Higher,% Same,% Lower,Diffusion Index,% Who Do Not Measure or Track
2023-05-01,6.8,86.3,6.9,50.0
2023-04-01,6.5,89.5,4.0,51.3
2023-03-01,5.5,76.1,18.4,43.6
2023-02-01,7.3,90.6,2.1,52.6
2023-01-01,11.5,83.0,5.5,53.0
2022-12-01,9.0,87.3,3.7,52.7
2022-11-01,25.3,68.4,6.3,59.5
2022-10-01,5.7,89.3,5.0,50.4
2022-09-01,10.1,82.4,7.5,51.3
2022-08-01,8.0,80.3,11.7,48.2
2022-07-01,8.4,79.0,12.6,48.0
2022-06-01,7.0,78.6,14.4,46.3
2022-05-01,14.1,77.6,8.3,52.8
2022-04-01,13.6,78.6,7.8,52.9
2022-03-01,11.9,66.2,21.9,45.0,
2022-02-01,11.1,81.1,7.8,51.7,
2022-01-01,10.5,81.1,8.4,51.1,
2021-12-01,20.6,69.7,9.7,55.5,
2021-11-01,8.3,84.4,7.3,50.5,
2021-10-01,20.8,64.9,14.3,53.3,
2021-09-01,5.7,84.1,10.2,47.7,
2021-08-01,9.4,78.7,11.9,48.7,
2021-07-01,8.2,86.9,4.9,51.6,
2021-06-01,21.2,74.0,4.8,58.2,
2021-05-01,15.4,70.0,14.6,50.4,
2021-04-01,16.9,77.4,5.6,55.7,
2021-03-01,10.1,81.1,8.7,50.7,
2021-02-01,16.8,67.4,15.8,50.5,
2021-01-01,14.9,77.0,8.0,53.5,
2020-12-01,8.8,86.0,5.2,51.8,
2020-11-01,17.3,75.3,7.4,55.0,
2020-10-01,10.1,84.8,5.1,52.5,
2020-09-01,8.7,75.8,15.4,46.6,
2020-08-01,10.1,81.4,8.5,50.8,
2020-07-01,6.2,80.1,13.7,46.3,
2020-06-01,17.8,70.2,12.0,52.9,
2020-05-01,16.5,54.3,29.2,43.7,
2020-04-01,26.4,45.8,27.8,49.3,
2020-03-01,5.2,69.9,24.9,40.2,
2020-02-01,13.0,79.0,7.9,52.6,
2020-01-01,17.2,75.8,7.0,55.1,
2019-12-01,11.0,74.0,15.0,48.0,
2019-11-01,3.0,84.0,13.0,45.0,
2019-10-01,5.0,87.0,8.0,48.5,
2019-09-01,9.0,80.0,11.0,49.0,
2019-08-01,11.0,79.0,10.0,50.5,
2019-07-01,10.0,87.0,3.0,53.5,
2019-06-01,9.0,82.0,9.0,50.0,
2019-05-01,8.0,84.0,8.0,50.0,
2019-04-01,16.0,78.0,6.0,55.0,
2019-03-01,13.0,77.0,10.0,51.5,
2019-02-01,8.0,81.0,11.0,48.5,
2019-01-01,12.0,80.0,8.0,52.0,
2018-12-01,15.0,77.0,8.0,53.5,
2018-11-01,16.0,77.0,7.0,54.5,
2018-10-01,13.0,76.0,11.0,51.0,
2018-09-01,15.0,80.0,5.0,55.0,
2018-08-01,11.0,82.0,7.0,52.0,
2018-07-01,14.0,77.0,9.0,52.5,
2018-06-01,12.0,79.0,9.0,51.5,
2018-05-01,13.0,82.0,5.0,54.0,
2018-04-01,15.0,79.0,6.0,54.5,
2018-03-01,15.0,80.0,5.0,55.0,
2018-02-01,12.0,76.0,12.0,50.0,
2018-01-01,14.0,80.0,6.0,54.0,
2017-12-01,14.0,77.0,9.0,52.5,
2017-11-01,10.0,85.0,5.0,52.5,
2017-10-01,13.0,78.0,9.0,52.0,
2017-09-01,9.0,86.0,5.0,52.0,
2017-08-01,11.0,79.0,10.0,50.5,
2017-07-01,9.0,85.0,6.0,51.5,
2017-06-01,9.0,84.0,7.0,51.0,
2017-05-01,6.0,85.0,9.0,48.5,
2017-04-01,13.0,80.0,7.0,53.0,
2017-03-01,18.0,77.0,5.0,56.5,
2017-02-01,9.0,84.0,7.0,51.0,
2017-01-01,14.0,80.0,6.0,54.0,
2016-12-01,8.0,84.0,8.0,50.0,
2016-11-01,16.0,76.0,8.0,54.0,
2016-10-01,12.0,82.0,6.0,53.0,
2016-09-01,11.0,80.0,9.0,51.0,
2016-08-01,8.0,85.0,7.0,50.5,
2016-07-01,13.0,80.0,7.0,53.0,
2016-06-01,13.0,82.0,5.0,54.0,
2016-05-01,12.0,83.0,5.0,53.5,
2016-04-01,14.0,80.0,6.0,54.0,
2016-03-01,14.0,78.0,8.0,53.0,
2016-02-01,16.0,79.0,5.0,55.5,
2016-01-01,5.0,82.0,13.0,46.0,
2015-12-01,11.0,76.0,13.0,49.0,
2015-11-01,13.0,76.0,11.0,51.0,
2015-10-01,13.0,83.0,4.0,54.5,
2015-09-01,12.0,82.0,6.0,53.0,
2015-08-01,11.0,81.0,8.0,51.5,
2015-07-01,12.0,77.0,11.0,50.5,
2015-06-01,6.0,84.0,10.0,48.0,
2015-05-01,17.0,73.0,10.0,53.5,
2015-04-01,15.0,73.0,12.0,51.5,
2015-03-01,17.0,77.0,6.0,55.5,
2015-02-01,14.0,74.0,12.0,51.0,
2015-01-01,11.0,71.0,18.0,46.5,
2014-12-01,12.0,76.0,12.0,50.0,
2014-11-01,15.0,77.0,8.0,53.5,
2014-10-01,18.0,76.0,6.0,56.0,
2014-09-01,12.0,81.0,7.0,52.5,
2014-08-01,8.0,86.0,6.0,51.0,
2014-07-01,14.0,81.0,5.0,54.5,
2014-06-01,10.0,86.0,4.0,53.0,
2014-05-01,14.0,83.0,3.0,55.5,
2014-04-01,17.0,77.0,6.0,55.5,54.0
2014-03-01,12.0,77.0,11.0,50.5,58.0
2014-02-01,7.0,80.0,13.0,47.0,60.0
2014-01-01,9.0,78.0,13.0,48.0,55.0
2013-12-01,8.0,85.0,7.0,50.5,55.0
2013-11-01,16.0,78.0,6.0,55.0,55.0
2013-10-01,12.0,86.0,2.0,55.0,53.0
2013-09-01,11.0,81.0,8.0,51.5,52.0
2013-08-01,16.0,78.0,6.0,55.0,53.0
2013-07-01,8.0,85.0,7.0,50.5,55.0
2013-06-01,11.0,85.0,4.0,53.5,54.0
2013-05-01,11.0,77.0,12.0,49.5,57.0
2013-04-01,20.0,77.0,3.0,58.5,57.0
2013-03-01,21.0,73.0,6.0,57.5,57.0
2013-02-01,12.0,81.0,7.0,52.5,58.0
2013-01-01,10.0,82.0,8.0,51.0,61.0
2012-12-01,9.0,80.0,11.0,49.0,61.0
2012-11-01,18.0,75.0,7.0,55.5,62.0
2012-10-01,9.0,81.0,10.0,49.5,58.0
2012-09-01,9.0,82.0,9.0,50.0,60.0
2012-08-01,8.0,83.0,9.0,49.5,58.0
2012-07-01,4.0,81.0,15.0,44.5,58.0
2012-06-01,15.0,77.0,8.0,53.5,56.0
2012-05-01,8.0,90.0,2.0,53.0,59.0
2012-04-01,17.0,79.0,4.0,56.5,60.0
2012-03-01,18.0,76.0,6.0,56.0,58.0
2012-02-01,17.0,70.0,13.0,52.0,58.0
2012-01-01,17.0,76.0,7.0,55.0,55.0
2011-12-01,13.0,82.0,5.0,54.0,60.0
2011-11-01,12.0,73.0,15.0,48.5,55.0
2011-10-01,10.0,76.0,14.0,48.0,62.0
2011-09-01,8.0,79.0,13.0,47.5,55.0
2011-08-01,13.0,81.0,6.0,53.5,54.0
2011-07-01,14.0,67.0,19.0,47.5,59.0
2011-06-01,6.0,81.0,13.0,46.5,65.0
2011-05-01,11.0,79.0,10.0,50.5,60.0
2011-04-01,19.0,76.0,5.0,57.0,59.0
2011-03-01,11.0,78.0,11.0,50.0,61.0
2011-02-01,19.0,69.0,12.0,53.5,58.0
2011-01-01,17.0,73.0,10.0,53.5,59.0
2010-12-01,15.0,72.0,13.0,51.0,61.0
2010-11-01,16.0,77.0,7.0,54.5,56.0
2010-10-01,15.0,78.0,7.0,54.0,59.0
2010-09-01,14.0,78.0,8.0,53.0,61.0
2010-08-01,10.0,81.0,9.0,50.5,60.0
2010-07-01,8.0,80.0,12.0,48.0,61.0
2010-06-01,7.0,82.0,11.0,48.0,63.0
2010-05-01,15.0,83.0,2.0,56.5,61.0
2010-04-01,15.0,83.0,2.0,56.5,60.0
2010-03-01,11.0,80.0,9.0,51.0,62.0
2010-02-01,11.0,75.0,14.0,48.5,63.0
2010-01-01,11.0,72.0,17.0,47.0,62.0
2009-12-01,17.0,71.0,12.0,52.5,63.0
2009-11-01,5.0,82.0,13.0,46.0,62.0
2009-10-01,2.0,88.0,10.0,46.0,60.0
2009-09-01,9.0,85.0,6.0,51.5,57.0
2009-08-01,10.0,78.0,12.0,49.0,61.0
2009-07-01,8.0,74.0,18.0,45.0,59.0
2009-06-01,5.0,84.0,11.0,47.0,64.0
2009-05-01,4.0,84.0,12.0,46.0,59.0
2009-04-01,7.0,83.0,10.0,48.5,63.0
2009-03-01,0.0,74.0,26.0,37.0,61.0
2009-02-01,2.0,74.0,24.0,39.0,59.0
2009-01-01,8.0,65.0,27.0,40.5,64.0
2008-12-01,0.0,65.0,35.0,32.5,65.0
2008-11-01,4.0,72.0,24.0,40.0,65.0
2008-10-01,20.0,64.0,16.0,52.0,62.0
2008-09-01,14.0,67.0,19.0,47.5,59.0
2008-08-01,5.0,82.0,13.0,46.0,56.0
2008-07-01,11.0,76.0,13.0,49.0,64.0
2008-06-01,12.0,77.0,11.0,50.5,60.0
2008-05-01,15.0,66.0,19.0,48.0,63.0
2008-04-01,16.0,68.0,16.0,50.0,62.0
2008-03-01,20.0,69.0,11.0,54.5,60.0
2008-02-01,18.0,62.0,20.0,49.0,62.0
2008-01-01,10.0,63.0,27.0,41.5,68.0
2007-12-01,14.0,73.0,13.0,50.5,64.0
2007-11-01,17.0,65.0,18.0,49.5,60.0
2007-10-01,23.0,65.0,12.0,55.5,63.0
2007-09-01,12.0,78.0,10.0,51.0,61.0
2007-08-01,16.0,78.0,6.0,55.0,65.0
2007-07-01,19.0,71.0,10.0,54.5,63.0
2007-06-01,24.0,67.0,9.0,57.5,62.0
2007-05-01,17.0,77.0,6.0,55.5,65.0
2007-04-01,18.0,69.0,13.0,52.5,65.0
2007-03-01,13.0,74.0,13.0,50.0,65.0
2007-02-01,18.0,72.0,10.0,54.0,66.0
2007-01-01,14.0,76.0,10.0,52.0,66.0
2006-12-01,30.0,64.0,6.0,62.0,66.0
2006-11-01,28.0,63.0,9.0,59.5,61.0
2006-10-01,25.0,65.0,10.0,57.5,66.0
2006-09-01,21.0,68.0,11.0,55.0,65.0
2006-08-01,22.0,76.0,2.0,60.0,65.0
2006-07-01,25.0,71.0,4.0,60.5,68.0
2006-06-01,20.0,71.0,9.0,55.5,65.0
2006-05-01,19.0,79.0,2.0,58.5,67.0
2006-04-01,19.0,76.0,5.0,57.0,66.0
2006-03-01,24.0,73.0,3.0,60.5,67.0
2006-02-01,15.0,80.0,5.0,55.0,68.0
2006-01-01,14.0,71.0,15.0,49.5,67.0
2005-12-01,21.0,71.0,8.0,56.5,67.0
2005-11-01,22.0,69.0,9.0,56.5,65.0
2005-10-01,19.0,69.0,12.0,53.5,67.0
2005-09-01,24.0,69.0,7.0,58.5,66.0
2005-08-01,25.0,73.0,2.0,61.5,71.0
2005-07-01,26.0,72.0,2.0,62.0,68.0
2005-06-01,25.0,67.0,8.0,58.5,70.0
2005-05-01,22.0,71.0,7.0,57.5,67.0
2005-04-01,24.0,69.0,7.0,58.5,69.0
2005-03-01,21.0,76.0,3.0,59.0,67.0
2005-02-01,23.0,69.0,8.0,57.5,67.0
2005-01-01,17.0,72.0,11.0,53.0,65.0
2004-12-01,29.0,64.0,7.0,61.0,68.0
2004-11-01,29.0,66.0,5.0,62.0,71.0
2004-10-01,24.0,67.0,9.0,57.5,70.0
2004-09-01,18.0,76.0,6.0,56.0,68.0
2004-08-01,29.0,69.0,2.0,63.5,70.0
2004-07-01,24.0,73.0,3.0,60.5,65.0
2004-06-01,22.0,69.0,9.0,56.5,70.0
2004-05-01,27.0,65.0,8.0,59.5,68.0
2004-04-01,25.0,71.0,4.0,60.5,68.0
2004-03-01,27.0,67.0,6.0,60.5,66.0
2004-02-01,25.0,67.0,8.0,58.5,67.0
2004-01-01,23.0,63.0,14.0,54.5,70.0
2003-12-01,22.0,70.0,8.0,57.0,66.0
2003-11-01,23.0,69.0,8.0,57.5,63.0
2003-10-01,21.0,70.0,9.0,56.0,67.0
2003-09-01,20.0,70.0,10.0,55.0,66.0
2003-08-01,23.0,74.0,3.0,60.0,66.0
2003-07-01,15.0,78.0,7.0,54.0,69.0
2003-06-01,10.0,81.0,9.0,50.5,69.0
2003-05-01,20.0,77.0,3.0,58.5,68.0
2003-04-01,15.0,70.0,15.0,50.0,68.0
2003-03-01,14.0,82.0,4.0,55.0,71.0
2003-02-01,18.0,67.0,15.0,51.5,73.0
2003-01-01,27.0,59.0,14.0,56.5,74.0
2002-12-01,7.0,86.0,7.0,51.8,70.0
2002-11-01,15.0,78.0,7.0,55.1,70.0
2002-10-01,20.0,67.0,13.0,54.9,69.0
2002-09-01,8.0,80.0,12.0,44.7,67.0
2002-08-01,9.0,80.0,11.0,48.3,72.0
2002-07-01,13.0,82.0,5.0,52.6,70.0
2002-06-01,19.0,72.0,9.0,55.2,73.0
2002-05-01,18.0,75.0,7.0,54.0,73.0
2002-04-01,16.0,82.0,2.0,56.2,67.0
2002-03-01,13.0,78.0,9.0,48.9,71.0
2002-02-01,12.0,79.0,9.0,54.3,73.0
2002-01-01,11.0,79.0,10.0,55.3,69.0
2001-12-01,17.0,74.0,9.0,55.9,67.0
2001-11-01,13.0,75.0,12.0,51.6,69.0
2001-10-01,11.0,77.0,12.0,50.7,72.0
2001-09-01,17.0,79.0,4.0,52.7,67.0
2001-08-01,15.0,77.0,8.0,52.8,69.0
2001-07-01,11.0,81.0,8.0,50.1,70.0
2001-06-01,14.0,72.0,14.0,50.0,68.0
2001-05-01,8.0,84.0,8.0,48.7,70.0
2001-04-01,12.0,77.0,11.0,49.8,69.0
2001-03-01,13.0,77.0,10.0,48.4,69.0
2001-02-01,7.0,79.0,14.0,48.7,69.0
2001-01-01,6.0,79.0,15.0,49.8,70.0
2000-12-01,14.0,75.0,11.0,53.4,67.0
2000-11-01,17.0,73.0,10.0,54.7,70.0
2000-10-01,18.0,79.0,3.0,58.9,65.0
2000-09-01,6.0,86.0,8.0,46.0,71.0
2000-08-01,14.0,81.0,5.0,53.9,71.0
2000-07-01,17.0,75.0,8.0,53.1,69.0
2000-06-01,18.0,70.0,12.0,52.6,65.0
2000-05-01,19.0,74.0,7.0,54.7,66.0
2000-04-01,16.0,79.0,5.0,54.6,70.0
2000-03-01,21.0,74.0,5.0,54.7,72.0
2000-02-01,14.0,72.0,14.0,51.9,71.0
2000-01-01,10.0,80.0,10.0,54.9,72.0
1999-12-01,11.0,76.0,13.0,50.8,72.0
1999-11-01,9.0,87.0,4.0,53.8,72.0
1999-10-01,17.0,75.0,8.0,55.7,68.0
1999-09-01,21.0,75.0,4.0,55.5,68.0
1999-08-01,11.0,83.0,6.0,52.3,73.0
1999-07-01,19.0,77.0,4.0,55.9,73.0
1999-06-01,9.0,88.0,3.0,51.9,72.0
1999-05-01,15.0,81.0,4.0,54.4,72.0
1999-04-01,17.0,73.0,10.0,52.6,70.0
1999-03-01,22.0,73.0,5.0,55.3,70.0
1999-02-01,11.0,81.0,8.0,52.7,70.0
1999-01-01,9.0,78.0,13.0,53.1,73.0
1998-12-01,12.0,72.0,16.0,50.3,70.0
1998-11-01,15.0,69.0,16.0,50.7,70.0
1998-10-01,10.0,76.0,14.0,48.8,68.0
1998-09-01,16.0,77.0,7.0,52.0,70.0
1998-08-01,16.0,78.0,6.0,55.2,68.0
1998-07-01,13.0,79.0,8.0,50.9,70.0
1998-06-01,21.0,70.0,9.0,54.5,69.0
1998-05-01,18.0,72.0,10.0,52.8,69.0
1998-04-01,13.0,80.0,7.0,52.1,69.0
1998-03-01,14.0,78.0,8.0,50.0,72.0
1998-02-01,14.0,76.0,10.0,52.6,72.0
1998-01-01,10.0,73.0,17.0,51.5,77.0
1997-12-01,11.0,77.0,12.0,52.2,73.0
1997-11-01,9.0,80.0,11.0,50.3,71.0
1997-10-01,6.0,88.0,6.0,50.7,70.0
1997-09-01,10.0,79.0,11.0,47.5,69.0
1997-08-01,10.0,76.0,14.0,48.4,69.0
1997-07-01,21.0,73.0,6.0,55.6,69.0
